State,Population Estimate,Year
Puerto Rico,3678732,2011
Alabama,4813946,2012
Alaska,730825,2012
Arizona,6544211,2012
Arkansas,2949208,2012
California,38019006,2012
Colorado,5186330,2012
Connecticut,3597705,2012
Delaware,916868,2012
District of Columbia,635630,2012
Florida,19341327,2012
Georgia,9911171,2012
Hawaii,1392772,2012
Idaho,1594673,2012
Illinois,12878494,2012
Indiana,6535665,2012
Iowa,3074386,2012
Kansas,2885316,2012
Kentucky,4383673,2012
Louisiana,4602681,2012
Maine,1328101,2012
Maryland,5891680,2012
Massachusetts,6659627,2012
Michigan,9886610,2012
Minnesota,5377695,2012
Mississippi,2982963,2012
Missouri,6023267,2012
Montana,1003522,2012
Nebraska,1854862,2012
Nevada,2752410,2012
New Hampshire,1320923,2012
New Jersey,8882095,2012
New Mexico,2083590,2012
New York,19625409,2012
North Carolina,9755299,2012
North Dakota,701380,2012
Ohio,11546969,2012
Oklahoma,3815298,2012
Oregon,3893920,2012
Pennsylvania,12768034,2012
Rhode Island,1052761,2012
South Carolina,4719009,2012
South Dakota,832576,2012
Tennessee,6450632,2012
Texas,26078327,2012
Utah,2854222,2012
Vermont,625606,2012
Virginia,8188656,2012
Washington,6890899,2012
West Virginia,1855360,2012
Wisconsin,5721075,2012
Wyoming,576608,2012
Puerto Rico,3634488,2012
Alabama,4827660,2013
Alaska,736760,2013
Arizona,6616124,2013
Arkansas,2956780,2013
California,38347383,2013
Colorado,5262556,2013
Connecticut,3602470,2013
Delaware,925114,2013
District of Columbia,650114,2013
Florida,19584927,2013
Georgia,9981773,2013
Hawaii,1408038,2013
Idaho,1610187,2013
Illinois,12890403,2013
Indiana,6567484,2013
Iowa,3089876,2013
Kansas,2892900,2013
Kentucky,4399121,2013
Louisiana,4626795,2013
Maine,1327975,2013
Maryland,5932654,2013
Massachusetts,6711138,2013
Michigan,9899219,2013
Minnesota,5416074,2013
Mississippi,2987721,2013
Missouri,6041142,2013
Montana,1011921,2013
Nebraska,1867414,2013
Nevada,2786547,2013
New Hampshire,1322622,2013
New Jersey,8913735,2013
New Mexico,2085161,2013
New York,19712514,2013
North Carolina,9849812,2013
North Dakota,722908,2013
Ohio,11567845,2013
Oklahoma,3849840,2013
Oregon,3919664,2013
Pennsylvania,12778450,2013
Rhode Island,1052784,2013
South Carolina,4765862,2013
South Dakota,842513,2013
Tennessee,6490795,2013
Texas,26479279,2013
Utah,2899961,2013
Vermont,626044,2013
Virginia,8261689,2013
Washington,6963410,2013
West Virginia,1852333,2013
Wisconsin,5736673,2013
Wyoming,582341,2013
Puerto Rico,3593077,2013
Alabama,4840037,2014
Alaska,736759,2014
Arizona,6706435,2014
Arkansas,2964800,2014
California,38701278,2014
Colorado,5342311,2014
Connecticut,3600188,2014
Delaware,934805,2014
District of Columbia,660797,2014
Florida,19897747,2014
Georgia,10083850,2014
Hawaii,1417710,2014
Idaho,1630391,2014
Illinois,12882438,2014
Indiana,6593182,2014
Iowa,3105563,2014
Kansas,2899553,2014
Kentucky,4410415,2014
Louisiana,4648797,2014
Maine,1328903,2014
Maryland,5970245,2014
Massachusetts,6757925,2014
Michigan,9914675,2014
Minnesota,5452649,2014
Mississippi,2988578,2014
Missouri,6058014,2014
Montana,1019931,2014
Nebraska,1880920,2014
Nevada,2831730,2014
New Hampshire,1328684,2014
New Jersey,8943010,2014
New Mexico,2083207,2014
New York,19773580,2014
North Carolina,9941160,2014
North Dakota,738658,2014
Ohio,11593741,2014
Oklahoma,3875008,2014
Oregon,3960673,2014
Pennsylvania,12790341,2014
Rhode Island,1054782,2014
South Carolina,4824758,2014
South Dakota,849455,2014
Tennessee,6540007,2014
Texas,26954436,2014
Utah,2938671,2014
Vermont,625665,2014
Virginia,8316902,2014
Washington,7046931,2014
West Virginia,1847624,2014
Wisconsin,5751272,2014
Wyoming,583334,2014
Puerto Rico,3534874,2014
Alabama,4850858,2015
Alaska,737979,2015
Arizona,6802262,2015
Arkansas,2975626,2015
California,39032444,2015
Colorado,5440445,2015
Connecticut,3593862,2015
Delaware,944107,2015
District of Columbia,672736,2015
Florida,20268567,2015
Georgia,10199533,2015
Hawaii,1426320,2015
Idaho,1649324,2015
Illinois,12862051,2015
Indiana,6610596,2015
Iowa,3118473,2015
Kansas,2905789,2015
Kentucky,4422057,2015
Louisiana,4671211,2015
Maine,1327787,2015
Maryland,6000561,2015
Massachusetts,6794002,2015
Michigan,9918170,2015
Minnesota,5483238,2015
Mississippi,2985297,2015
Missouri,6072640,2015
Montana,1028317,2015
Nebraska,1893564,2015
Nevada,2883057,2015
New Hampshire,1330134,2015
New Jersey,8960001,2015
New Mexico,2082264,2015
New York,19819347,2015
North Carolina,10041769,2015
North Dakota,754859,2015
Ohio,11606027,2015
Oklahoma,3904353,2015
Oregon,4016537,2015
Pennsylvania,12791124,2015
Rhode Island,1055916,2015
South Carolina,4892423,2015
South Dakota,854036,2015
Tennessee,6590726,2015
Texas,27454880,2015
Utah,2984917,2015
Vermont,624455,2015
Virginia,8366767,2015
Washington,7152818,2015
West Virginia,1839767,2015
Wisconsin,5759744,2015
Wyoming,586102,2015
Puerto Rico,3473177,2015
Alabama,4860545,2016
Alaska,741522,2016
Arizona,6908642,2016
Arkansas,2988231,2016
California,39296476,2016
Colorado,5530105,2016
Connecticut,3587685,2016
Delaware,952698,2016
District of Columbia,684336,2016
Florida,20656589,2016
Georgia,10313620,2016
Hawaii,1428683,2016
Idaho,1680026,2016
Illinois,12835726,2016
Indiana,6634007,2016
Iowa,3130869,2016
Kansas,2907731,2016
Kentucky,4436113,2016
Louisiana,4686157,2016
Maine,1330232,2016
Maryland,6024752,2016
Massachusetts,6823721,2016
Michigan,9933445,2016
Minnesota,5525050,2016
Mississippi,2985415,2016
Missouri,6091176,2016
Montana,1038656,2016
Nebraska,1907603,2016
Nevada,2939254,2016
New Hampshire,1335015,2016
New Jersey,8978416,2016
New Mexico,2085432,2016
New York,19836286,2016
North Carolina,10156689,2016
North Dakota,755548,2016
Ohio,11622554,2016
Oklahoma,3921207,2016
Oregon,4085989,2016
Pennsylvania,12787085,2016
Rhode Island,1057566,2016
South Carolina,4959822,2016
South Dakota,861542,2016
Tennessee,6649404,2016
Texas,27904862,2016
Utah,3044321,2016
Vermont,623354,2016
Virginia,8414380,2016
Washington,7280934,2016
West Virginia,1828637,2016
Wisconsin,5772917,2016
Wyoming,584910,2016
Puerto Rico,3406520,2016
Alabama,4874747,2017
Alaska,739795,2017
Arizona,7016270,2017
Arkansas,3004279,2017
California,39536653,2017
Colorado,5607154,2017
Connecticut,3588184,2017
Delaware,961939,2017
District of Columbia,693972,2017
Florida,20984400,2017
Georgia,10429379,2017
Hawaii,1427538,2017
Idaho,1716943,2017
Illinois,12802023,2017
Indiana,6666818,2017
Iowa,3145711,2017
Kansas,2913123,2017
Kentucky,4454189,2017
Louisiana,4684333,2017
Maine,1335907,2017
Maryland,6052177,2017
Massachusetts,6859819,2017
Michigan,9962311,2017
Minnesota,5576606,2017
Mississippi,2984100,2017
Missouri,6113532,2017
Montana,1050493,2017
Nebraska,1920076,2017
Nevada,2998039,2017
New Hampshire,1342795,2017
New Jersey,9005644,2017
New Mexico,2088070,2017
New York,19849399,2017
North Carolina,10273419,2017
North Dakota,755393,2017
Ohio,11658609,2017
Oklahoma,3930864,2017
Oregon,4142776,2017
Pennsylvania,12805537,2017
Rhode Island,1059639,2017
South Carolina,5024369,2017
South Dakota,869666,2017
Tennessee,6715984,2017
Texas,28304596,2017
Utah,3101833,2017
Vermont,623657,2017
Virginia,8470020,2017
Washington,7405743,2017
West Virginia,1815857,2017
Wisconsin,5795483,2017
Wyoming,579315,2017
Puerto Rico,3337177,2017
